"Department","Department_Name","Division","Gender","Base_Salary","Overtime_Pay","Longevity_Pay","Grade"
"ABS","Alcohol Beverage Services","ABS 85 Administration","M","$175,873","$0","$0","M2"
"ABS","Alcohol Beverage Services","ABS 85 Administration","M","$145,613.36","$0","$0","M3"
"ABS","Alcohol Beverage Services","ABS 85 Administration","F","$136,970","$0","$0","M3"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$89,432.694","$0","$2,490","21"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$78,947","$456.68","$6,257.7","16"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$98,228","$518.8","$998.28","21"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$82,405.3864","$549.2","$0","18"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$93,986","$1,187.06","$2,452.94","N20"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$149,464.15","$0","$9,021.82","18"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$117,424","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$82,808.28","$11,870.82","$0","21"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$65,961.8438","$2,092.7","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$59,288.86","$1,013.01","$0","13"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$139,407.15","$0","$0","M3"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$128,531","$0","$0","N27"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$152,632.07","$0","$0","M3"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$73,955.2951","$3,509.43","$0","16"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$117,424","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","M","$117,424","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$110,572.155","$0","$0","N26"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$61,240","$5,294.68","$995.18","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$61,240","$92.35","$4,827.4","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$86,103","$23,917.44","$3,665.64","N18"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$61,240","$9,580.78","$459.3","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$86,103","$3,165.46","$3,665.65","N18"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,086.4937","$6,857.37","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$81,931.2453","$24,672.86","$0","N18"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621","$2,065.26","$3,471.32","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621.002","$4,453.91","$3,572.85","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621","$10,989.68","$3,436.83","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621","$6,505.89","$1,228.89","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$59,047.2324","$7,762.45","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621","$11,987.31","$1,228.88","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$61,240","$7,037.7","$2,091.16","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$72,361.0418","$8,085.91","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$68,944.3944","$4,539.49","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$75,621","$1,662.14","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$59,288.8374","$1,654.62","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$44,906.3502","$3,194.01","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$56,492.9983","$689.42","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$65,434.165","$2,033.02","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$53,998.3375","$103.06","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$60,476.4824","$2,079.74","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$56,997.156","$7,844.97","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$52,377.6689","$1,949.38","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$51,025.2354","$855.92","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$52,591.028","$5,708.94","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$54,062.3451","$4,107.44","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$51,547.6404","$9,244.92","$0","15"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$49,298.9741","$569.16","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$43,600.4411","$4,195.08","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$60,263.8204","$5,788.37","$0","15"
